!! YAML file for Class AA verbs

gatáa+V+SINGULAR+IMPERATIVE: gatáa
: gatáaga                          gatáa+V+IMMEDIATE+PRESENT
: dah'ang'aawaa'ahlang           dah+V+NEGATIVE+3rd_PERSON_PLURAL+INTENSIVE+PAST
: dah'ang'aawaa'ahlanggaa        dah+V+NEGATIVE+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: dah'ang'aawaa'ahlanggang       dah+V+NEGATIVE+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: dah'ang'waa'ahl                dah+V+NEGATIVE+3rd_PERSON_PLURAL+REFLEXIVE
: dah'ang'waaäseehl              dah+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE

! LEXICON CLASS_AHL_STEM_1

: áljahl                            áljahl+V+SINGULAR+IMPERATIVE
: áljahl                            áljahl+V+INTERROGATIVE+SIMPLE+PRESENT
: áljahls                           áljahl+V+RELATIVE
: áljahläsaa                        áljahl+V+INTERROGATIVE+FUTURE+LONG
: áljahläs                          áljahl+V+INTERROGATIVE+FUTURE+SHORT
: áljahläsaang                      áljahl+V+SIMPLE+FUTURE
: áljahläsga                        áljahl+V+IMMEDIATE+FUTURE
: áljahläsaas                       áljahl+V+RELATIVE+FUTURE
: áljahläsaa.ang                    áljahl+V+FUTURE+NON_FACTIVE
: áljahl'uuj                        áljahl+V+BIASED+IMMEDIATE+PRESENT
: áljahl'uujang                     áljahl+V+BIASED+SIMPLE+PRESENT
: áljahläsaa'uujang                 áljahl+V+RESIGNED_OBLIGATION
: áljahl'us                         áljahl+V+BIASED+INTERROGATIVE+PRESENT
: áljahl'ujaa                       áljahl+V+BIASED+INTERROGATIVE+PAST
: áljahl'uujaangaa                  áljahl+V+BIASED+INTERROGATIVE+PAST+HABITUAL
: áljahläsaa'us                     áljahl+V+BIASED+INTERROGATIVE+FUTURE
: áljahläsaa'ahlans                 áljahl+V+CERTAIN+FUTURE
: áljahläseehl                      áljahl+V+FUTURE+REFLEXIVE+INTERROGATIVE
: áljahl'uu                         áljahl+V+PLURAL+IMPERATIVE
: áljahl'waa                        áljahl+V+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
: áljahl'waa                        áljahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+SIMPLE+PRESENT
: áljahl'waang                      áljahl+V+3rd_PERSON_PLURAL+SIMPLE+PRESENT
: áljahl'wägan                      áljahl+V+3rd_PERSON_PLURAL+DIRECT+PAST
: áljahl'aawaa                      áljahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST
: áljahl'aawaan                     áljahl+V+3rd_PERSON_PLURAL+INDIRECT+PAST
: áljahl'waas                       áljahl+V+3rd_PERSON_PLURAL+RELATIVE
: áljahl'aawaas                     áljahl+V+3rd_PERSON_PLURAL+RELATIVE+EVIDENTIAL
: áljahl'waa.ang                    áljahl+V+3rd_PERSON_PLURAL+NON_FACTIVE
: áljahl'aawaa.ang                  áljahl+V+3rd_PERSON_PLURAL+PAST+NON_FACTIVE
: áljahl'wägiinii                   áljahl+V+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: áljahl'wägaangaa                  áljahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: áljahl'wägaangaan                 áljahl+V+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: áljahl'waaäsaa                    áljahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: áljahl'waaäs                      áljahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: áljahl'waaäsaang                  áljahl+V+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: áljahl'waaäsga                    áljahl+V+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: áljahl'waaäsaas                   áljahl+V+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: áljahl'waaäsaa.ang                áljahl+V+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: áljahl'waa.ang ñasa'áa            áljahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: áljahl'waa.ang ñasa'áang          áljahl+V+3rd_PERSON_PLURAL+NEAR+FUTURE
: áljahl'waa.ang ñasaasdláa         áljahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: áljahl'waa.ang ñasaasdláang       áljahl+V+3rd_PERSON_PLURAL+VERYNEAR+FUTURE
: áljahl'waa'uuj                    áljahl+V+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: áljahl'waa'uujang                 áljahl+V+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: áljahl'waaäsaa'uujang             áljahl+V+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: áljahl'waa'us                     áljahl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: áljahl'waa'ujaa                   áljahl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: áljahl'waa'uujaangaa              áljahl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: áljahl'waaäsaa'us                 áljahl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: áljahl'waa'ahlanggang             áljahl+V+3rd_PERSON_PLURAL+CERTAIN+PRESENT
: áljahl'waa'ahlanggan              áljahl+V+3rd_PERSON_PLURAL+CERTAIN+PAST
: áljahl'waa'ahlanggiinii           áljahl+V+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: áljahl'waaäsaa'ahlans             áljahl+V+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: áljahl'waa'ahlans                 áljahl+V+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: áljahl'aawaa'ahlang               áljahl+V+3rd_PERSON_PLURAL+INTENSIVE+PAST
: áljahl'aawaa'ahlanggaa            áljahl+V+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: áljahl'aawaa'ahlanggang           áljahl+V+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: áljahl'waa'ahl                    áljahl+V+3rd_PERSON_PLURAL+REFLEXIVE
: áljahl'waaäseehl                  áljahl+V+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE
: áljahl'ang                        áljahl+V+NEGATIVE+SINGULAR+IMPERATIVE
: áljahl'angga                      áljahl+V+NEGATIVE+IMMEDIATE+PRESENT
: áljahl'ang                        áljahl+V+NEGATIVE+INTERROGATIVE+SIMPLE+PRESENT
: áljahl'anggang                    áljahl+V+NEGATIVE+SIMPLE+PRESENT
: áljahl'anggan                     áljahl+V+NEGATIVE+DIRECT+PAST
: áljahl'aangaa                     áljahl+V+NEGATIVE+INTERROGATIVE+PAST
: áljahl'aangaan                    áljahl+V+NEGATIVE+INDIRECT+PAST
: áljahl'ans                        áljahl+V+NEGATIVE+RELATIVE
: áljahl'aangaas                    áljahl+V+NEGATIVE+RELATIVE+EVIDENTIAL
: áljahl'angang                     áljahl+V+NEGATIVE+NON_FACTIVE
: áljahl'aangaa.ang                 áljahl+V+NEGATIVE+PAST+NON_FACTIVE
: áljahl'anggang                    áljahl+V+NEGATIVE+INTERROGATIVE+PRESENT+HABITUAL
: áljahl'anggiinii                  áljahl+V+NEGATIVE+DIRECT+PAST+HABITUAL
: áljahl'anggaangaa                 áljahl+V+NEGATIVE+INTERROGATIVE+PAST+HABITUAL
: áljahl'anggaangaan                áljahl+V+NEGATIVE+INDIRECT+PAST+HABITUAL
: áljahl'angäsaa                    áljahl+V+NEGATIVE+INTERROGATIVE+FUTURE+LONG
: áljahl'angäs                      áljahl+V+NEGATIVE+INTERROGATIVE+FUTURE+SHORT
: áljahl'angäsaang                  áljahl+V+NEGATIVE+SIMPLE+FUTURE
: áljahl'angäsga                    áljahl+V+NEGATIVE+IMMEDIATE+FUTURE
: áljahl'angäsaas                   áljahl+V+NEGATIVE+RELATIVE+FUTURE
: áljahl'angäsaa.ang                áljahl+V+NEGATIVE+FUTURE+NON_FACTIVE
: áljahl'ang'uuj                    áljahl+V+NEGATIVE+BIASED+IMMEDIATE+PRESENT
: áljahl'ang'uujang                 áljahl+V+NEGATIVE+BIASED+SIMPLE+PRESENT
: áljahl'angäsaa'uujang             áljahl+V+NEGATIVE+RESIGNED_OBLIGATION
: áljahl'ang'us                     áljahl+V+NEGATIVE+BIASED+INTERROGATIVE+PRESENT
: áljahl'ang'ujaa                   áljahl+V+NEGATIVE+BIASED+INTERROGATIVE+PAST
: áljahl'ang'uujaangaa              áljahl+V+NEGATIVE+BIASED+INTERROGATIVE+PAST+HABITUAL
: áljahl'angäsaa'us                 áljahl+V+NEGATIVE+BIASED+INTERROGATIVE+FUTURE
: áljahl'aang'ahlanggang            áljahl+V+NEGATIVE+CERTAIN+PRESENT
: áljahl'aang'ahlanggan             áljahl+V+NEGATIVE+CERTAIN+PAST
: áljahl'aang'ahlanggiinii          áljahl+V+NEGATIVE+CERTAIN+PAST+HABITUAL
: áljahl'angäsaa'ahlans             áljahl+V+NEGATIVE+CERTAIN+FUTURE
: áljahl'aang'ahlans                áljahl+V+NEGATIVE+CERTAIN+RELATIVE
: áljahl'aangaa'ahlang              áljahl+V+NEGATIVE+INTENSIVE+PAST
: áljahl'aangaa'ahlanggaa           áljahl+V+NEGATIVE+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: áljahl'aangaa'ahlanggang          áljahl+V+NEGATIVE+COUNTERFACTUAL+PRESENT
: áljahl'aang'ahl                   áljahl+V+NEGATIVE+REFLEXIVE
: áljahl'angäseehl                  áljahl+V+NEGATIVE+FUTURE+REFLEXIVE+INTERROGATIVE
: áljahl'ang'uu                     áljahl+V+NEGATIVE+PLURAL+IMPERATIVE
: áljahl'ang'waa                    áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
: áljahl'ang'waa                    áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+SIMPLE+PRESENT
: áljahl'ang'waang                  áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+SIMPLE+PRESENT
: áljahl'ang'wägan                  áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+DIRECT+PAST
: áljahl'ang'aawaa                  áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PAST
: áljahl'ang'aawaan                 áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+INDIRECT+PAST
: áljahl'ang'waas                   áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE
: áljahl'ang'aawaas                 áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE+EVIDENTIAL
: áljahl'ang'waa.ang                áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+NON_FACTIVE
: áljahl'ang'aawaa.ang              áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+PAST+NON_FACTIVE
: áljahl'ang'wägiinii               áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: áljahl'ang'wägaangaa              áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: áljahl'ang'wägaangaan             áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: áljahl'ang'waaäsaa                áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: áljahl'ang'waaäs                  áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: áljahl'ang'waaäsaang              áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: áljahl'ang'waaäsga                áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: áljahl'ang'waaäsaas               áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: áljahl'ang'waaäsaa.ang            áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: áljahl'waa.ang ñasaa'áng          áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: áljahl'waa.ang ñasaa'ánggang      áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+NEAR+FUTURE
: áljahl'waa.ang ñasaasdlä'áng      áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: áljahl'waa.ang ñasaasdlä'ánggang  áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+VERYNEAR+FUTURE
: áljahl'ang'waa'uuj                áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: áljahl'ang'waa'uujang             áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: áljahl'ang'waaäsaa'uujang         áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: áljahl'ang'waa'us                 áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: áljahl'ang'waa'ujaa               áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: áljahl'ang'waa'uujaangaa          áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: áljahl'ang'waaäsaa'us             áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: áljahl'ang'waa'ahlanggang         áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PRESENT
: áljahl'ang'waa'ahlanggan          áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PAST
: áljahl'ang'waa'ahlanggiinii       áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: áljahl'ang'waaäsaa'ahlans         áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: áljahl'ang'waa'ahlans             áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: áljahl'ang'aawaa'ahlang           áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+INTENSIVE+PAST
: áljahl'ang'aawaa'ahlanggaa        áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: áljahl'ang'aawaa'ahlanggang       áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: áljahl'ang'waa'ahl                áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+REFLEXIVE
: áljahl'ang'waaäseehl              áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE


! LEXICON CLASS_AHL_STEM_2

: áljalga                          áljahl+V+IMMEDIATE+PRESENT
: áljalgang                        áljahl+V+SIMPLE+PRESENT
: áljalgan                         áljahl+V+DIRECT+PAST
: áljal.ang                        áljahl+V+NON_FACTIVE
: áljalgang                        áljahl+V+INTERROGATIVE+PRESENT+HABITUAL
: áljalganggang                    áljahl+V+PRESENT+HABITUAL
: áljalgangang                     áljahl+V+PRESENT+HABITUAL+NON_FACTIVE
: áljalgiinii                      áljahl+V+DIRECT+PAST+HABITUAL
: áljalgaangaa                     áljahl+V+INTERROGATIVE+PAST+HABITUAL
: áljalgaangaan                    áljahl+V+INDIRECT+PAST+HABITUAL
: áljalang ñasa'áa                 áljahl+V+INTERROGATIVE+NEAR+FUTURE
: áljalang ñasa'áang               áljahl+V+NEAR+FUTURE
: áljalang ñasaasdláa              áljahl+V+INTERROGATIVE+VERYNEAR+FUTURE
: áljalang ñasaasdláang            áljahl+V+VERYNEAR+FUTURE
: áljalgang'waa                    áljahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+PRESENT+HABITUAL
: áljalgang'waang                  áljahl+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL
: áljalgang'waa.ang                áljahl+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL+NON_FACTIVE
: áljalgang'anggang                áljahl+V+NEGATIVE+PRESENT+HABITUAL
: áljalgang'angang                 áljahl+V+NEGATIVE+PRESENT+HABITUAL+NON_FACTIVE
: áljalang ñasaa'áng               áljahl+V+NEGATIVE+INTERROGATIVE+NEAR+FUTURE
: áljalang ñasaa'ánggang           áljahl+V+NEGATIVE+NEAR+FUTURE
: áljalang ñasaasdlä'áng           áljahl+V+NEGATIVE+INTERROGATIVE+VERYNEAR+FUTURE
: áljalang ñasaasdlä'ánggang       áljahl+V+NEGATIVE+VERYNEAR+FUTURE
: áljalgang'ang'waa                áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PRESENT+HABITUAL
: áljalgang'ang'waang              áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+PRESENT+HABITUAL
: áljalgang'ang'waa.ang            áljahl+V+NEGATIVE+3rd_PERSON_PLURAL+PRESENT+HABITUAL+NON_FACTIVE

! LEXICON CLASS_AHL_STEM_3

: áljaalaa                          áljahl+V+INTERROGATIVE+PAST
: áljaalaan                         áljahl+V+INDIRECT+PAST
: áljaalaas                         áljahl+V+RELATIVE+EVIDENTIAL
: áljaalaa.ang                      áljahl+V+PAST+NON_FACTIVE
: áljaal'ahlanggang                 áljahl+V+CERTAIN+PRESENT
: áljaal'ahlanggan                  áljahl+V+CERTAIN+PAST
: áljaal'ahlanggiinii               áljahl+V+CERTAIN+PAST+HABITUAL
: áljaal'ahlans                     áljahl+V+CERTAIN+RELATIVE
: áljaalaa'ahlang                   áljahl+V+INTENSIVE+PAST
: áljaalaa'ahlanggaa                áljahl+V+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: áljaalaa'ahlanggang               áljahl+V+COUNTERFACTUAL+PRESENT
: áljaal'ahl                        áljahl+V+REFLEXIVE

! LEXICON CLASS_AL_STEM_1

: sçál                            sçál+V+SINGULAR+IMPERATIVE
: sçálga                          sçál+V+IMMEDIATE+PRESENT
: sçál                            sçál+V+INTERROGATIVE+SIMPLE+PRESENT
: sçálgang                        sçál+V+SIMPLE+PRESENT
: sçálgan                         sçál+V+DIRECT+PAST
: sçáls                           sçál+V+RELATIVE
: sçálang                         sçál+V+NON_FACTIVE
: sçálgang                        sçál+V+INTERROGATIVE+PRESENT+HABITUAL
: sçálganggang                    sçál+V+PRESENT+HABITUAL
: sçálgangang                     sçál+V+PRESENT+HABITUAL+NON_FACTIVE
: sçálgiinii                      sçál+V+DIRECT+PAST+HABITUAL
: sçálgaangaa                     sçál+V+INTERROGATIVE+PAST+HABITUAL
: sçálgaangaan                    sçál+V+INDIRECT+PAST+HABITUAL
: sçáläsaa                        sçál+V+INTERROGATIVE+FUTURE+LONG
: sçáläs                          sçál+V+INTERROGATIVE+FUTURE+SHORT
: sçáläsaang                      sçál+V+SIMPLE+FUTURE
: sçáläsga                        sçál+V+IMMEDIATE+FUTURE
: sçáläsaas                       sçál+V+RELATIVE+FUTURE
: sçáläsaa.ang                    sçál+V+FUTURE+NON_FACTIVE
: sçálang ñasa'áa                 sçál+V+INTERROGATIVE+NEAR+FUTURE
: sçálang ñasa'áang               sçál+V+NEAR+FUTURE
: sçálang ñasaasdláa              sçál+V+INTERROGATIVE+VERYNEAR+FUTURE
: sçálang ñasaasdláang            sçál+V+VERYNEAR+FUTURE
: sçál'uuj                        sçál+V+BIASED+IMMEDIATE+PRESENT
: sçál'uujang                     sçál+V+BIASED+SIMPLE+PRESENT
: sçáläsaa'uujang                 sçál+V+RESIGNED_OBLIGATION
: sçál'us                         sçál+V+BIASED+INTERROGATIVE+PRESENT
: sçál'ujaa                       sçál+V+BIASED+INTERROGATIVE+PAST
: sçál'uujaangaa                  sçál+V+BIASED+INTERROGATIVE+PAST+HABITUAL
: sçáläsaa'us                     sçál+V+BIASED+INTERROGATIVE+FUTURE
: sçáläsaa'ahlans                 sçál+V+CERTAIN+FUTURE
: sçáläseehl                      sçál+V+FUTURE+REFLEXIVE+INTERROGATIVE
: sçál'uu                         sçál+V+PLURAL+IMPERATIVE
: sçál'waa                        sçál+V+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
: sçál'waa                        sçál+V+3rd_PERSON_PLURAL+INTERROGATIVE+SIMPLE+PRESENT
: sçál'waang                      sçál+V+3rd_PERSON_PLURAL+SIMPLE+PRESENT
: sçál'wägan                      sçál+V+3rd_PERSON_PLURAL+DIRECT+PAST
: sçál'aawaa                      sçál+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST
: sçál'aawaan                     sçál+V+3rd_PERSON_PLURAL+INDIRECT+PAST
: sçál'waas                       sçál+V+3rd_PERSON_PLURAL+RELATIVE
: sçál'aawaas                     sçál+V+3rd_PERSON_PLURAL+RELATIVE+EVIDENTIAL
: sçál'waa.ang                    sçál+V+3rd_PERSON_PLURAL+NON_FACTIVE
: sçál'aawaa.ang                  sçál+V+3rd_PERSON_PLURAL+PAST+NON_FACTIVE
: sçálgang'waa                    sçál+V+3rd_PERSON_PLURAL+INTERROGATIVE+PRESENT+HABITUAL
: sçálgang'waang                  sçál+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL
: sçálgang'waa.ang                sçál+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL+NON_FACTIVE
: sçál'wägiinii                   sçál+V+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: sçál'wägaangaa                  sçál+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: sçál'wägaangaan                 sçál+V+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: sçál'waaäsaa                    sçál+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: sçál'waaäs                      sçál+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: sçál'waaäsaang                  sçál+V+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: sçál'waaäsga                    sçál+V+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: sçál'waaäsaas                   sçál+V+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: sçál'waaäsaa.ang                sçál+V+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: sçál'waa.ang ñasa'áa            sçál+V+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: sçál'waa.ang ñasa'áang          sçál+V+3rd_PERSON_PLURAL+NEAR+FUTURE
: sçál'waa.ang ñasaasdláa         sçál+V+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: sçál'waa.ang ñasaasdláang       sçál+V+3rd_PERSON_PLURAL+VERYNEAR+FUTURE
: sçál'waa'uuj                    sçál+V+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: sçál'waa'uujang                 sçál+V+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: sçál'waaäsaa'uujang             sçál+V+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: sçál'waa'us                     sçál+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: sçál'waa'ujaa                   sçál+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: sçál'waa'uujaangaa              sçál+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: sçál'waaäsaa'us                 sçál+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: sçál'waa'ahlanggang             sçál+V+3rd_PERSON_PLURAL+CERTAIN+PRESENT
: sçál'waa'ahlanggan              sçál+V+3rd_PERSON_PLURAL+CERTAIN+PAST
: sçál'waa'ahlanggiinii           sçál+V+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: sçál'waaäsaa'ahlans             sçál+V+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: sçál'waa'ahlans                 sçál+V+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: sçál'aawaa'ahlang               sçál+V+3rd_PERSON_PLURAL+INTENSIVE+PAST
: sçál'aawaa'ahlanggaa            sçál+V+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: sçál'aawaa'ahlanggang           sçál+V+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: sçál'waa'ahl                    sçál+V+3rd_PERSON_PLURAL+REFLEXIVE
: sçál'waaäseehl                  sçál+V+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE
: sçál'ang                        sçál+V+NEGATIVE+SINGULAR+IMPERATIVE
: sçál'angga                      sçál+V+NEGATIVE+IMMEDIATE+PRESENT
: sçál'ang                        sçál+V+NEGATIVE+INTERROGATIVE+SIMPLE+PRESENT
: sçál'anggang                    sçál+V+NEGATIVE+SIMPLE+PRESENT
: sçál'anggan                     sçál+V+NEGATIVE+DIRECT+PAST
: sçál'aangaa                     sçál+V+NEGATIVE+INTERROGATIVE+PAST
: sçál'aangaan                    sçál+V+NEGATIVE+INDIRECT+PAST
: sçál'ans                        sçál+V+NEGATIVE+RELATIVE
: sçál'aangaas                    sçál+V+NEGATIVE+RELATIVE+EVIDENTIAL
: sçál'angang                     sçál+V+NEGATIVE+NON_FACTIVE
: sçál'aangaa.ang                 sçál+V+NEGATIVE+PAST+NON_FACTIVE
: sçál'anggang                    sçál+V+NEGATIVE+INTERROGATIVE+PRESENT+HABITUAL
: sçálgang'anggang                sçál+V+NEGATIVE+PRESENT+HABITUAL
: sçálgang'angang                 sçál+V+NEGATIVE+PRESENT+HABITUAL+NON_FACTIVE
: sçál'anggiinii                  sçál+V+NEGATIVE+DIRECT+PAST+HABITUAL
: sçál'anggaangaa                 sçál+V+NEGATIVE+INTERROGATIVE+PAST+HABITUAL
: sçál'anggaangaan                sçál+V+NEGATIVE+INDIRECT+PAST+HABITUAL
: sçál'angäsaa                    sçál+V+NEGATIVE+INTERROGATIVE+FUTURE+LONG
: sçál'angäs                      sçál+V+NEGATIVE+INTERROGATIVE+FUTURE+SHORT
: sçál'angäsaang                  sçál+V+NEGATIVE+SIMPLE+FUTURE
: sçál'angäsga                    sçál+V+NEGATIVE+IMMEDIATE+FUTURE
: sçál'angäsaas                   sçál+V+NEGATIVE+RELATIVE+FUTURE
: sçál'angäsaa.ang                sçál+V+NEGATIVE+FUTURE+NON_FACTIVE
: sçálang ñasaa'áng               sçál+V+NEGATIVE+INTERROGATIVE+NEAR+FUTURE
: sçálang ñasaa'ánggang           sçál+V+NEGATIVE+NEAR+FUTURE
: sçálang ñasaasdlä'áng           sçál+V+NEGATIVE+INTERROGATIVE+VERYNEAR+FUTURE
: sçálang ñasaasdlä'ánggang       sçál+V+NEGATIVE+VERYNEAR+FUTURE
: sçál'ang'uuj                    sçál+V+NEGATIVE+BIASED+IMMEDIATE+PRESENT
: sçál'ang'uujang                 sçál+V+NEGATIVE+BIASED+SIMPLE+PRESENT
: sçál'angäsaa'uujang             sçál+V+NEGATIVE+RESIGNED_OBLIGATION
: sçál'ang'us                     sçál+V+NEGATIVE+BIASED+INTERROGATIVE+PRESENT
: sçál'ang'ujaa                   sçál+V+NEGATIVE+BIASED+INTERROGATIVE+PAST
: sçál'ang'uujaangaa              sçál+V+NEGATIVE+BIASED+INTERROGATIVE+PAST+HABITUAL
: sçál'angäsaa'us                 sçál+V+NEGATIVE+BIASED+INTERROGATIVE+FUTURE
: sçál'aang'ahlanggang            sçál+V+NEGATIVE+CERTAIN+PRESENT
: sçál'aang'ahlanggan             sçál+V+NEGATIVE+CERTAIN+PAST
